# Authored mature skill components: ID|S1|S2|normal (coefficient,hits,targets; targets=0 means random hits total). + separates groups; p prefix is primary-stat direct damage. External/conditional branches are documented in decisions.mjs.
1|1.05,1,1|0,1,1|1,1,1
2|4.3,1,1|5.4,1,1+p1.8,1,1|1,1,1
3|3.5,1,5|3.6,1,5|1,1,1
4|3.7,1,1|4.2,1,1|1,1,1
5|4.8,1,4|7.8,1,1|1,1,1
6|3.5,1,4|3.3,4,0+4,2.8,0|1,1,1
7|7.2,1,1|3.8,1,5|1,1,1
8|5.25,10,0|5.25,1,5|1,1,1
9|4,2,1+p2.8,2,1|4,1,1+p2.8,1,1|1,1,1
10|4.2,1,4|3.8,4,0|1,1,1
11|1.3,1,1|1.2,3,0|1,1,1
12|6.4,3,0|3.2,1,3|1,1,1
13|4.8,1,1|4.5,1,2|1,1,1
14|5.2,1,1|0,1,1|2.2,2,0
15|4.2,7,0|7.8,4,0|1,1,1
16|2.8,1,5|0,1,1|1,1,1
17|3.5,3,1+2.6,3,1|10.2,1,4|1,1,1
18|5.15,6,0|5.5,1,5|1,1,1
19|4.2,5,1|2.8,6,1|1,1,1
20|4.1,1,5|0,1,1|2.5,1,2
21|1.3,1,3|2,1,1|1,1,1
22|5.2,1,1|4.8,1,3|1,1,1
23|3.2,1,5|4.2,1,3|1,1,1
24|4.5,1,1|4.1,1,3|1,1,1
25|5.3,1,5+p7.6,1,1|9.6,5,1|1.2,1,2
26|0,1,1|3.8,1,3|1,1,1
27|5.7,5,0|10.4,1,5|1,1,1
28|4.8,1,5|4.8,1,5|1,1,1
29|4.1,1,4|0,1,1|1,1,1
30|5.4,1,5+p1.5,1,1|p7.8,1,1|1,1,1
31|1.3,1,1|1.1,1,3|1,1,1
32|3.6,1,1|0,1,1|1,1,1
33|2.3,5,0|3.9,1,2|1,1,1
34|1.9,8,0|4.8,1,1|1,1,1
35|3.4,5,0|5.9,1,5|1,1,1
36|3.4,1,5|3.5,1,5+p3.2,1,1|1,1,1
37|7.2,1,3|5,1,5|1,1,1
38|0,1,1|4.5,5,0|1,1,1
39|4.1,4,1|5.2,1,3|1,1,1
40|5.9,1,3|4.8,1,5|1,1,1
41|6.1,5,0|5.3,1,5|1,1,1
42|0,1,1|3.8,2,1+p1.25,2,1|1,1,1
43|5.2,6,0|4.8,5,1|1,1,1
44|5.8,1,5|9.4,4,0|1,1,1
45|12,1,5|24,1,3|1,1,1
46|3,1,5|2.85,1,5|1,1,1
47|3.8,10,1|6.2,6,1|1,1,1
48|7.1,4,0|p9.8,1,4|p3.3,1,3
49|3.8,1,5|7.6,1,1|1,1,1
50|6,2,3|6,8,0|1,1,1
51|4.5,5,1|3.6,8,0|1,1,1
52|11.7,1,1|5.3,1,4|1,1,1
53|4.8,1,4|6.3,4,0|1,1,1
54|0,1,1|3,1,2.5|1,1,1
55|7,2,1+9,.4,1|27,1,1|1,1,1
56|18,2,0|10,2,1|1,1,1
57|4,1,3|12,1,1|1,1,1
58|3.5,1,5|4,7,0|1,1,1
59|9.8,1,3|8.8,1,5|2,1,2
60|4.8,1,5|0,1,1|1,1,1
61|7.2,10,1+5.8,1,1|6.6,5,0|1,1,1
62|2,1,3|2,1,3|1,1,1
63|5.8,1,5|19.6,4,0|1,1,1
64|0,1,1|17.6,1,3|1,1,1
65|3.8,1,3|11.4,3,2|1,1,1
66|11.2,1,3|9.8,6,0|1,1,1
67|0,1,1|5.9,1,3|1,1,1
68|4.8,1,5|13.6,1,1|1,1,1
