# ID|event|initial|cap|increment|timing and reset
8|回合开始|0|15|1|15回合满90%暴率；标准50%有效基础暴率且专武减抗暴生效时，S1首轮96%、第2回合封顶，成长仅小幅补强；S2无此减抗暴，第9回合封顶。
15|回合开始|0|20|1|20回合满140%生命；不是开局生命。
19|普通攻击暴击|0|5|1|5次普攻暴击满50%攻击，各层5回合；受控或暴击不足可能掉层。
25|友军死亡|1|5|1|开局1层，另需4名友军死亡至250%攻击；每次新增重置7回合，残局成本很高。
30|对同一目标暴击|0|5|1|同一目标5次暴击至75%易伤，不把不同目标层数相加。
33|技能暴击|0|5|1|5次暴击满50%攻击，持续1回合；本次伤害先于自身该段生成的增益。
35|自身增益种类|0|4|1|4种增益使S2倍率达到590%；P1第3回合后且此前2回合未受伤才加攻80%。
36|S1施放|0|0|1|每次S1提高后续倍率70%攻击，无原文上限；不能编造叠满值，另列第1/3/5次。
45|主动技能附加增益事件|4|10|4|开局4层，额外2次增益事件满10层三防；S1需8种友军增益，S2需目标2种弱化。
50|自身攻击暴击|0|10|1|10次暴击完成阻绝60%向40%、攻击向40%的转换，攻击增长按回合触发原文区分；不同时取开局阻绝和满攻。
52|增益附加目标本回合受击次数|0|4|1|本回合4次受击才达到90%输出增幅；回合切换重新统计，不把前回合受击积累到本回合。
58|S1施放|8|10|2|初始8层抗暴/阻绝资源，S1补2层（耗尽时3层）；受大伤消耗，不是永久10层。
61|全队受到攻击的人次|0|10|1|合计10人次解除献身、开启8回合神咒解放，一场仅一次；S1第三次施放进入三倍阶段。
63|全队攻击暴击|0|20|1|20次暴击强化S2，施放消耗全部层数；每次强化都要重新攒20次。
64|自身受暴击|0|2|1|2次受暴击把抗暴40%升至80%，开局三屏障不补发。
65|有指定护盾的友军在自身行动开始时计数|0|10|1|共消除10层恶魔引诱，最多每行动3层，最快4次行动；护盾被破会减慢。
68|S2施放|0|2|1|第二次S2起直接攻击倍率翻倍；侵蚀还要等待4次目标行动开始，不是当次额外造成全部延迟伤害。
71|回合开始按中毒敌人数获得层数|0|20|1|每回合1+中毒敌人数层，最多20层100%攻击；单敌至多2层/回合，五敌至多6层/回合，不能固定按满场速度。
72|进行攻击或受到攻击|0|10|1|10次事件满双防100%，层仅持续1回合，不能把跨回合次数累计成常驻满层。
75|全队受到自损伤害|0|4|1|4次自损满40%攻击；自身每次主动1次，红队加攻50%作为合理配队，盾仅首回合6回合。
76|第2至第10回合开始|0|9|1|9次生命附加分配给当时最低血的其他友军，不能假定全给同一目标。
77|全队受到攻击的人次|0|20|1|20人次使S2达到1100%；另需2名友军死亡才满100%加攻，不能作为无成本配队条件。
78|自身行动结束获得攻击层|0|15|1|每行动1/2/3层，需15/8/5次行动叠满；6/12层解锁S2两轮/三轮，行动结束叠层不回填本次攻击。
79|自身增益被敌方解除或夺取|0|1|1|1次外部驱散解锁满技能；否则随死亡人数成长，不能无条件默认解锁。
80|自身获得主动恢复效果|0|6|1|累计6次主动恢复，S2自身回复可贡献一次；再生不计主动恢复。
81|S2施放|0|3|1|第三次S2四倍倍率；S1命中也在第三次施放提升。
82|回合|0|7|1|第7回合重置CD并开启20回合守护骑士；加攻100%还需此前承伤达到原攻击20倍。
83|独门秘方层|0|15|1|15层共90%攻击；前6回合每次主动1层，第7回合后S1每次3层、S2每次1层并减自身CD5。
86|生长因子层|0|10|1|S1结束+2层，S2满足友军命中增益后+3层；合理配置两轮双主动共10层，增强用于后续攻击。
87|同一敌人攻击后泡沫层|0|5|1|同一敌人5层转晕厥并清层，层持续2回合，第3回合起停止附加。
88|记忆层|1|15|1|初始1层，第2回合起每回合+3，无外部弱化最晚第6回合满；弱化事件按全队在身弱化种数加层。强化S2消耗后不再叠加，仅一次。
89|全队自损事件|0|5|1|5次事件使各目标彩光满5层10%易伤，层持续2回合；自身每主动1次。
90|各主动施放次数|0|3|1|S1第三次80%攻击，S2第三次12段；分别计数，不能合并成总计3次主动。
92|全队主动恢复事件|0|15|1|15次满75%攻击；S2前6回合连续3次恢复，S1再生不计。生命增益另需2次S1，每次40%。
93|全队自损事件|0|4|1|4次自损满40%攻击并把S2每段提高到1140%；自身每主动1次。
95|主动控制附加|0|1|1|攻击增幅取控制剩余回合，最多40%；护盾仅开局/队友死亡重发，不是周期盾。
96|回合开始|0|20|1|第20回合满100%攻击；S1/S2各第三次成熟；第7回合前不死减攻90%，成熟不死不减攻。
97|全队因技能解除弱化的总种数|0|5|1|累计净化5种使S2达到870%，同一次解除多种各计数。
99|成功驱散敌方增益|0|1|1|成功驱散才获得2回合来源攻防；每个主动先自损2次，不等于1次施放1次自损。
100|S2施放|0|3|1|第三次S2达2450%；复制每4行动触发，复制内容未知不设无限增益。
102|全队自损事件|0|5|1|5次事件使全体加攻25%；S2目标5种弱化满1020%，P1按弱化敌人数1至5分别评估。
103|全队主动恢复事件|0|15|1|15次使S2达1920%；自身S1一次、S2连续3次恢复，不能按施放次数代替恢复次数。
105|自身受击|0|10|1|10次满30%贯通；每次增强主动消耗5层，至少再受击5次补回，不能永久满贯通。
106|打叉叉覆盖|0|3|1|依赖S1/P1附加命中，逐目标判断S2四倍；不能因部分敌人附带就全目标增强。
108|回合|0|7|1|第7回合重置CD并四倍主动倍率，但80%吸血同时到期，不能拼接后期伤害和前期吸血。
109|S2施放|0|3|1|第三次S2转定点8段；周期强化普攻一次减CD1，不是每个普通攻击均减CD。
111|回合|0|7|1|第7回合S1攻击/暴率由10%升40%；抗暴保护在敌人少于5名时解除。
113|S2施放|0|3|1|按原文每次发动增加段数，成熟最多6段；行动后盾8行动补发一次，减伤每行动需续期。
114|全队主动恢复事件|0|15|1|15次满75%攻击；前6回合双主动各恢复1次，第7回合仅主动自疗停止，P1可继续由队友触发。
115|S1获得言灵层数|0|5|2|合理流金队每次S1+2层，第2次S1达3层门槛，第3次达5层；S2不加层，不能算3次任意主动。
122|弱化敌人数|0|3|1|第2回合起至少3名弱化敌人才续欢笑天赋；单敌战不满足，S2只能560%，P2加攻仅初行动2回合。
123|主动弱化事件|0|5|1|5次普通弱化或1次控制即满50%攻击；S1自减速贡献1次，行动开始净化不阻止本次自减速触发。
124|全队主动恢复事件|0|10|1|10次满80%攻击/命中并强化S2；自身每主动回复1次。
125|目标无弱化|0|1|1|S2三倍分支要求目标无弱化，与自身流血/脱力冲突，不能把三倍和这些弱化叠为稳定循环。
126|行动开始层数|0|15|2|合理增益队每行动2层，第8次行动满15层；两主动各第三次四倍，S1第三次停止补盾。
128|单个目标沙尘层数|0|4|1|4层易伤20%，高血每次判定可2层；70%概率且仅2回合，一次CD重置不作永久减CD。
129|致命保命触发|0|1|1|一次保命后4回合伤害强化/85%阻绝，随后70%阻绝；不能全程取强化技能。
130|全队自损事件|0|6|1|3次事件解锁S1重放，6次满60%攻击；成熟S1重放也再次自损，两轮共2次自损。
131|全队净化弱化总种数|0|5|1|累计净化5种解锁S2；P1每次触发自净化3种，但需要全队当时至少5种弱化。
132|全队主动恢复事件|0|10|1|10次满100%攻击/60%物防；第7回合双主动不再回血，需要前期或队友叠层。
